category,parameter,value,converged,steps_to_converge,episodes_to_converge,final_mean_reward,final_success_rate,final_fuel_remaining,wall_clock_time_s
Learning Rate,learning_rate,0.0001,True,190000,771,210.6069582419296,1.0,42.664832870761565,224.86999893188477
Learning Rate,learning_rate,0.0003,True,90000,507,196.8909244310757,0.9333333333333332,49.054188132484775,99.29613471031189
Learning Rate,learning_rate,0.001,True,70000,383,194.8669778498833,1.0,40.798757726798456,81.21398854255676
Discount Factor,gamma,0.95,False,200000,658,-115.76173983288804,0.0,0.0,277.27680706977844
Discount Factor,gamma,0.99,True,130000,565,194.82035580058397,0.9333333333333332,39.75122474859158,212.431973695755
Discount Factor,gamma,0.999,True,150000,767,198.9393758221815,0.9333333333333332,64.86823343644544,186.74302864074707
Exploration-Exploitation (Entropy),ent_coef,0.0,True,120000,564,190.36135225103044,1.0,31.32725236251956,150.5630030632019
Exploration-Exploitation (Entropy),ent_coef,0.01,True,100000,523,190.04028234460452,0.9333333333333332,41.11543928494054,121.86748337745667
Exploration-Exploitation (Entropy),ent_coef,0.05,True,90000,482,196.65057052663465,1.0,42.78475742806989,105.68346118927002
